timestep,Bin_x,Bin_y,Bin_z,B_in_mag,Bout_x,Bout_y,Bout_z,B_out_mag,Bam_x,Bam_y,Bam_z,Bam_mag
1049.625,-1.0664,0.9301,1.8222,2.3071,-0.9811,1.0599,1.8215,2.3246,-1.0703,0.9082,1.7315,2.229
1049.6875,-0.9077,0.8853,1.8849,2.2717,-0.9121,0.9213,1.9045,2.3039,-1.0244,0.848,1.774,2.2171
1049.75,-0.9885,0.914,1.8168,2.2613,-0.8714,0.8995,1.789,2.1838,-0.9625,0.8282,1.7375,2.152
1049.8125,-0.9993,0.8829,1.7537,2.2031,-0.9387,0.93,1.7984,2.2317,-1.0032,0.8335,1.6591,2.1104
1049.875,-0.9993,0.8866,1.771,2.2184,-0.8642,0.9134,1.6388,2.0656,-1.0248,0.7998,1.6587,2.1074
1049.9375,-0.8947,0.8945,1.7154,2.1315,-0.8939,0.9559,1.8229,2.244,-0.996,0.84,1.7348,2.1696
1050,-0.9351,0.9005,1.7891,2.2105,-0.8639,0.9987,1.8052,2.2366,-0.99,0.8709,1.6845,2.1392
1050.0625,-0.8347,0.8251,1.7099,2.0739,-0.8013,0.9482,1.7953,2.1827,-0.9785,0.8625,1.675,2.123
1050.125,-0.9677,0.9519,1.671,2.1528,-1.0073,0.9212,1.9037,2.3425,-1.0212,0.8267,1.674,2.128
1050.1875,-1.0895,0.9099,1.7083,2.221,-0.9748,0.9742,1.6731,2.1676,-1.0409,0.8804,1.6299,2.1249
1050.25,-0.8436,0.9033,1.7363,2.1312,-0.7906,1.0025,1.8088,2.214,-0.9703,0.8893,1.6914,2.1431
1050.3125,-0.891,0.7947,1.6784,2.0597,-0.8643,0.8436,1.7912,2.1603,-0.9752,0.7645,1.7073,2.1096
1050.375,-0.9981,0.8791,1.6476,2.1174,-0.9709,0.9625,1.6869,2.1713,-1.0484,0.8615,1.6545,2.1398
1050.4375,-1.078,0.8812,1.788,2.2661,-1.0079,1.0827,1.8078,2.3359,-1.0932,0.9191,1.702,2.2219
1050.5,-0.9928,0.983,1.8117,2.2879,-0.8873,0.9906,1.7025,2.1603,-1.0498,0.8589,1.6896,2.1667
1050.5625,-1.0575,0.887,1.75,2.2289,-1.0023,0.9462,1.7501,2.2277,-1.0534,0.901,1.6507,2.1555
1050.625,-0.9932,0.9132,1.6553,2.1355,-1.0503,1.025,1.8466,2.3588,-1.0917,0.8391,1.6322,2.1354
1050.6875,-1.0497,0.806,1.6754,2.1351,-1.0839,0.9421,1.7029,2.2277,-1.0901,0.8129,1.6259,2.1196
1050.75,-1.0707,1.0311,1.6831,2.2455,-1.1209,1.025,1.8124,2.3647,-1.0873,0.8974,1.7054,2.2127
1050.8125,-0.9443,0.9157,1.8103,2.2377,-1.1084,0.9678,1.9645,2.4545,-1.1026,0.8864,1.7542,2.2536
1050.875,-0.9891,0.9281,1.7528,2.2163,-0.9371,0.8718,1.8929,2.285,-1.0642,0.8419,1.6993,2.1746
1050.9375,-0.979,0.9491,1.8024,2.26,-0.8835,1.0466,1.7661,2.235,-1.0372,0.8858,1.692,2.1733
1051,-1.0341,0.8137,1.7759,2.2102,-1.0005,0.984,1.8401,2.3141,-1.0233,0.8705,1.7205,2.1829
1051.0625,-0.9594,0.8507,1.8108,2.2188,-0.8966,0.9276,1.8543,2.2589,-0.9665,0.7843,1.7118,2.1165
1051.125,-0.855,0.9025,1.6749,2.0859,-0.8388,0.9626,1.7551,2.1704,-0.9905,0.8682,1.6364,2.1007
1051.1875,-0.9527,0.9326,1.6548,2.125,-0.9951,1.0582,1.7547,2.2779,-1.0408,0.9168,1.6643,2.1665
1051.25,-1.0184,0.9333,1.7193,2.2054,-0.8981,0.8762,1.7979,2.1925,-1.0235,0.8263,1.7036,2.1524
1051.3125,-0.9709,0.9352,1.7555,2.2134,-0.9683,0.9118,1.8776,2.301,-1.0025,0.8305,1.7632,2.1917
1051.375,-0.933,0.8594,1.7632,2.1721,-0.9165,0.945,1.7713,2.2069,-1.0368,0.8121,1.7174,2.1642
1051.4375,-1.0723,0.9445,1.7762,2.2797,-0.9982,0.964,1.7369,2.2232,-1.0415,0.8795,1.6728,2.1579
1051.5,-0.9897,0.915,1.7169,2.1828,-1.0321,0.9362,1.7734,2.2554,-1.0267,0.8917,1.6412,2.1314
1051.5625,-0.9871,1.0112,1.7326,2.2358,-0.9304,0.9281,1.7514,2.1896,-1.035,0.867,1.6509,2.1327
1051.625,-0.9496,0.9209,1.8227,2.2522,-0.9592,0.9315,1.7947,2.238,-1.047,0.8662,1.6762,2.1578
1051.6875,-0.9534,0.9449,1.6746,2.1462,-0.8614,0.9953,1.678,2.1327,-1.0042,0.8434,1.6066,2.0739
1051.75,-0.9336,0.8541,1.6191,2.0549,-0.8542,0.8416,1.761,2.1305,-0.9753,0.8246,1.6047,2.0509
1051.8125,-0.9334,0.916,1.6652,2.1173,-1.0349,0.9351,1.7803,2.2617,-1.0226,0.8394,1.6641,2.1259
1051.875,-0.9676,1.0095,1.79,2.2715,-0.855,1.0315,1.7581,2.2105,-1.0424,0.8766,1.685,2.1666
1051.9375,-0.9947,0.955,1.5773,2.0951,-1.0579,0.8897,1.7541,2.2333,-1.046,0.8354,1.6744,2.1437
1052,-1.0415,0.9373,1.7953,2.2774,-0.9115,0.9824,1.8239,2.2633,-1.0473,0.8463,1.7493,2.2075
1052.0625,-0.9635,1.017,1.8325,2.3067,-0.9967,1.0287,1.8277,2.3221,-1.0702,0.9575,1.766,2.2761
1052.125,-1.0309,0.9236,1.8226,2.2887,-1.0032,1.0892,1.8283,2.3527,-1.0654,0.9508,1.763,2.2687
1052.1875,-0.9265,0.9397,1.785,2.2198,-0.8854,0.9398,1.9022,2.299,-1.0089,0.908,1.7379,2.2052
1052.25,-1.0387,0.9605,1.7051,2.2156,-1.0188,0.8986,1.7632,2.2258,-1.1379,0.9077,1.6574,2.2059
1052.3125,-1.107,1.0153,1.7548,2.3099,-0.9916,1.0439,1.7667,2.279,-1.0971,0.9259,1.6764,2.2071
1052.375,-1.0026,0.8549,1.7693,2.206,-0.856,1.0318,1.7813,2.2295,-1.046,0.9121,1.6676,2.1695
1052.4375,-0.9132,1.0718,1.6709,2.1851,-0.9986,1.1575,1.7816,2.3476,-1.0768,0.9485,1.6591,2.1936
1052.5,-1.0832,1.0573,1.7646,2.3249,-0.9345,0.9717,1.7451,2.2053,-1.0995,0.9542,1.6603,2.2082
1052.5625,-1.0714,1.041,1.644,2.2213,-1.0363,1.1423,1.7293,2.3172,-1.1091,0.9969,1.6107,2.195
1052.625,-0.9453,1.0178,1.6786,2.1788,-0.9406,1.0656,1.7975,2.2915,-1.0751,0.9803,1.6518,2.2012
1052.6875,-1.0463,1.0228,1.6921,2.2369,-0.9938,1.1201,1.803,2.3438,-1.065,0.9283,1.679,2.1943
1052.75,-1.1233,1.0261,1.6728,2.2612,-1.0136,1.0864,1.7513,2.2967,-1.0945,0.9999,1.6754,2.2371
1052.8125,-1.0757,0.9861,1.7816,2.303,-1.0521,1.0706,1.7678,2.3191,-1.1124,1.0001,1.6698,2.2419
1052.875,-1.0626,1.1046,1.7314,2.3123,-0.9774,0.9675,1.7296,2.2097,-1.113,0.9834,1.6551,2.2237
1052.9375,-1.0344,1.1858,1.7164,2.3286,-0.925,1.1172,1.8198,2.3271,-1.0918,1.0229,1.6295,2.2121
1053,-1.0088,1.0328,1.5617,2.1268,-1.0926,1.0895,1.7326,2.3201,-1.1224,1.021,1.5843,2.1937
1053.0625,-1.0667,1.0217,1.6251,2.196,-0.9916,1.1016,1.632,2.2046,-1.1191,1.0032,1.5609,2.1668
1053.125,-1.0149,1.115,1.6368,2.2254,-0.9628,1.1068,1.7804,2.3069,-1.0606,1.0316,1.609,2.1859
1053.1875,-1.0229,1.0364,1.7382,2.2676,-0.9641,1.0762,1.8002,2.3083,-1.0487,0.9879,1.6638,2.2009
1053.25,-1.0192,1.0641,1.6767,2.2321,-1.018,1.158,1.6536,2.2609,-1.0872,1.0423,1.6305,2.2197
1053.3125,-1.0799,0.9745,1.6304,2.185,-0.9767,1.0572,1.7601,2.2736,-1.0514,0.9628,1.6454,2.1771
1053.375,-1.0126,0.8581,1.6981,2.1553,-1.0611,0.9777,1.698,2.2282,-1.0484,0.9016,1.6398,2.145
1053.4375,-1.0278,1.2115,1.767,2.3763,-0.9434,1.2513,1.8531,2.4268,-1.0349,1.0814,1.6609,2.2358
1053.5,-1.0098,1.1241,1.693,2.2693,-0.9572,1.1704,1.7843,2.3387,-1.0864,1.0265,1.6579,2.2322
1053.5625,-1.0086,0.9319,1.6806,2.1703,-1.0361,0.9918,1.766,2.2751,-1.0959,0.8796,1.6128,2.1391
1053.625,-1.1198,1.0091,1.6642,2.2454,-1.0305,1.2015,1.8358,2.424,-1.0803,1.0039,1.6488,2.2121
1053.6875,-1.1432,1.0979,1.6512,2.2889,-1.0411,1.1568,1.749,2.3412,-1.11,1.0329,1.6402,2.2337
1053.75,-0.9806,0.931,1.7041,2.1754,-0.9765,0.9988,1.7309,2.2242,-1.1113,0.9344,1.6083,2.1667
1053.8125,-1.016,1.1253,1.6465,2.2382,-1.002,1.0804,1.6765,2.232,-1.1001,0.996,1.5758,2.1646
1053.875,-1.0826,0.9499,1.6655,2.2019,-0.9396,1.0463,1.7167,2.2192,-1.0766,0.9789,1.6027,2.1647
1053.9375,-1.0948,0.8996,1.7604,2.2598,-0.9144,1.1143,1.7936,2.3011,-1.0694,0.9318,1.6806,2.1991
1054,-1.1194,0.8896,1.6585,2.1898,-1.0605,0.9153,1.6909,2.1958,-1.1092,0.9376,1.6312,2.1841
1054.0625,-1.0274,0.8609,1.6964,2.162,-0.9895,0.9926,1.7245,2.2223,-1.1005,0.92,1.6447,2.1824
1054.125,-0.904,0.854,1.6511,2.0671,-1.0902,0.9176,1.6963,2.2154,-1.0687,0.8913,1.6099,2.128
1054.1875,-1.1295,0.9331,1.7227,2.2615,-0.9445,1.0912,1.7141,2.2407,-1.0759,0.9146,1.6573,2.1773
1054.25,-1.0157,0.9724,1.6498,2.1677,-0.9283,0.9037,1.6983,2.136,-1.0824,0.8813,1.6621,2.1704
1054.3125,-0.9852,0.8994,1.6795,2.1448,-0.9519,1.062,1.697,2.2167,-1.0718,0.8872,1.6179,2.1339
1054.375,-1.0172,1.0735,1.6328,2.203,-1.0299,1.0548,1.6374,2.2033,-1.0766,0.9394,1.624,2.163
1054.4375,-0.9796,0.9517,1.6761,2.1621,-1.0533,1.0396,1.7778,2.3132,-1.0345,0.9009,1.6417,2.1394
1054.5,-0.9675,1.0356,1.7196,2.2283,-0.9912,1.1141,1.861,2.3847,-1.0861,0.9927,1.7111,2.2568
1054.5625,-0.958,1.0545,1.7104,2.2261,-1.0229,1.0241,1.7468,2.2686,-1.0585,0.9759,1.7294,2.2502
1054.625,-1.0581,1.0636,1.6881,2.2584,-0.9791,1.0329,1.7472,2.2535,-1.0793,0.9449,1.6654,2.198
1054.6875,-1.0207,0.9258,1.6102,2.1194,-0.8902,1.0373,1.6878,2.1719,-1.0627,0.965,1.6357,2.1762
1054.75,-0.8698,0.9745,1.7135,2.1546,-0.9838,0.9349,1.7697,2.2302,-1.0277,0.9903,1.6809,2.2051
1054.8125,-1.0182,1.079,1.7824,2.319,-1.0603,1.1833,1.7867,2.391,-1.0965,1.0415,1.7073,2.2808
1054.875,-1.0313,1.0512,1.7087,2.2557,-1.0719,1.1085,1.6629,2.2678,-1.0689,1.0211,1.6403,2.2081
1054.9375,-1.0535,1.0108,1.7862,2.3069,-0.9691,1.125,1.8609,2.3807,-1.0597,1.0092,1.6872,2.2334
1055,-0.9196,0.9334,1.7153,2.1585,-1.0103,1.0799,1.8531,2.3709,-1.0553,0.9543,1.6858,2.2059
1055.0625,-0.8865,0.9313,1.6914,2.1247,-0.8954,1.0652,1.8033,2.2778,-0.992,0.9036,1.6483,2.1254
1055.125,-0.9555,1.0024,1.6174,2.1293,-0.9944,1.1399,1.7445,2.309,-0.9964,0.9692,1.6598,2.1649
1055.1875,-0.9113,0.9996,1.6575,2.1394,-0.8811,1.0156,1.7985,2.2455,-1.0037,0.9227,1.676,2.1604
1055.25,-0.8285,0.8543,1.703,2.0776,-0.7881,0.9204,1.7187,2.1029,-0.9771,0.8813,1.6541,2.1136
1055.3125,-0.8596,1.0061,1.7029,2.1566,-0.9532,0.9316,1.664,2.132,-1.0034,0.9131,1.615,2.1092
1055.375,-1.023,1.0319,1.5817,2.1478,-0.8435,1.0276,1.7231,2.1763,-1.0234,0.9767,1.6375,2.164
1055.4375,-0.8677,0.9691,1.6644,2.1124,-0.7974,0.9715,1.6568,2.0796,-0.9781,0.9012,1.5733,2.0601
1055.5,-0.879,0.931,1.6067,2.0545,-0.9335,0.9438,1.6827,2.1433,-1.0016,0.8649,1.5976,2.0745
1055.5625,-1.0521,0.9549,1.7276,2.2368,-0.9921,1.0266,1.7521,2.2601,-1.0418,0.92,1.6887,2.1871
1055.625,-0.9286,0.9398,1.7071,2.1586,-0.8206,0.9161,1.7689,2.1544,-0.997,0.8774,1.666,2.1306
1055.6875,-0.9871,0.8914,1.5879,2.0713,-0.9556,1.0258,1.7111,2.2121,-0.9869,0.9104,1.605,2.0925
1055.75,-0.9907,0.9903,1.6431,2.1591,-0.965,1.0951,1.6072,2.171,-1.0507,0.9769,1.5943,2.1448
1055.8125,-1.0631,0.9875,1.7808,2.2971,-0.8783,0.9539,1.7457,2.1746,-1.0254,0.8879,1.681,2.16
1055.875,-0.9598,0.8861,1.7685,2.1986,-0.8744,1.0063,1.7588,2.2069,-1.0069,0.8723,1.6943,2.1554
