TIME_UTC                 BISX        BISY       BISZ       BIST         BOSX      BOSY       BOSZ       BOST      dBX        dBY        dBZ        dBT                                                 
2006-06-09T01:43:19.709   -594.672   -631.156   1795.651   1994.080      5.708    110.147    133.546    173.203   -600.380   -741.302   1662.106   1916.398
2006-06-09T01:43:19.716   -595.776   -633.836   1797.837   1997.227      5.650    109.500    134.200    173.297   -601.426   -743.336   1663.637   1918.841
2006-06-09T01:43:19.724   -595.696   -631.468   1795.990   1994.789      5.868    110.126    133.129    172.874   -601.564   -741.593   1662.861   1917.536
2006-06-09T01:43:19.732   -594.272   -629.232   1794.169   1992.018      5.776    110.569    132.667    172.799   -600.048   -739.802   1661.503   1915.190
2006-06-09T01:43:19.740   -596.416   -632.465   1796.949   1996.184      5.324    109.879    134.257    173.571   -601.740   -742.344   1662.691   1917.735
2006-06-09T01:43:19.748   -596.032   -633.934   1798.414   1997.853      5.693    109.603    134.128    173.308   -601.725   -743.537   1664.286   1919.575
2006-06-09T01:43:19.756   -593.424   -630.170   1794.930   1992.747      6.141    110.437    132.738    172.782   -599.565   -740.607   1662.192   1915.949
2006-06-09T01:43:19.763   -595.632   -629.483   1794.093   1992.435      5.227    110.402    133.243    173.117   -600.859   -739.885   1660.851   1914.912
2006-06-09T01:43:19.771   -597.664   -634.091   1798.579   1998.540      5.332    109.278    134.376    173.283   -602.996   -743.369   1664.204   1919.837
2006-06-09T01:43:19.779   -593.696   -633.292   1798.199   1996.761      6.450    109.771    133.776    173.168   -600.146   -743.063   1664.424   1919.016
2006-06-09T01:43:19.787   -592.656   -628.916   1793.076   1990.452      6.251    110.650    132.586    172.805   -598.907   -739.566   1660.490   1913.864
2006-06-09T01:43:19.795   -598.144   -630.303   1794.804   1994.086      5.044    110.168    133.626    173.258   -603.188   -740.471   1661.177   1916.153
2006-06-09T01:43:19.802   -596.704   -635.027   1800.828   2000.574      5.756    109.281    134.919    173.720   -602.460   -744.308   1665.909   1921.511
2006-06-09T01:43:19.810   -591.520   -632.171   1796.916   1994.603      6.848    109.967    133.608    173.178   -598.368   -742.138   1663.308   1917.135
2006-06-09T01:43:19.818   -594.608   -628.291   1791.374   1989.304      5.534    110.497    132.411    172.548   -600.142   -738.788   1658.963   1912.626
2006-06-09T01:43:19.826   -599.216   -632.007   1797.041   1996.960      5.243    109.841    134.153    173.464   -604.459   -741.848   1662.888   1918.569
2006-06-09T01:43:19.834   -593.760   -635.532   1802.271   2001.158      6.665    109.428    135.215    174.075   -600.425   -744.960   1667.056   1922.122
2006-06-09T01:43:19.841   -591.456   -629.835   1793.852   1991.085      6.575    110.504    133.066    173.092   -598.031   -740.338   1660.787   1914.146
2006-06-09T01:43:19.849   -597.408   -628.233   1791.273   1990.033      5.108    110.446    132.731    172.748   -602.516   -738.679   1658.542   1912.964
2006-06-09T01:43:19.857   -598.064   -634.654   1801.443   2001.415      5.761    109.449    135.376    174.180   -603.825   -744.103   1666.067   1921.997
2006-06-09T01:43:19.865   -591.968   -634.463   1800.732   1998.901      6.701    109.571    134.823    173.862   -598.669   -744.033   1665.909   1920.220
2006-06-09T01:43:19.873   -592.800   -628.181   1790.072   1987.556      6.122    110.358    132.114    172.251   -598.922   -738.539   1657.958   1911.275
2006-06-09T01:43:19.881   -598.176   -630.143   1794.532   1993.801      5.330    110.087    133.514    173.128   -603.506   -740.230   1661.018   1916.022
2006-06-09T01:43:19.888   -596.608   -635.971   1804.248   2003.924      5.973    109.306    135.991    174.577   -602.581   -745.276   1668.257   1923.960
2006-06-09T01:43:19.896   -591.440   -632.058   1796.180   1993.881      6.557    109.864    133.552    173.058   -597.997   -741.922   1662.628   1916.345
2006-06-09T01:43:19.904   -594.352   -627.873   1789.311   1987.237      5.855    110.246    132.010    172.090   -600.207   -738.119   1657.301   1910.946
2006-06-09T01:43:19.912   -598.480   -633.025   1799.338   1999.129      5.461    109.602    134.712    173.752   -603.941   -742.627   1664.626   1920.213
2006-06-09T01:43:19.920   -595.088   -635.255   1802.613   2001.772      6.369    109.437    135.135    174.007   -601.457   -744.692   1667.478   1922.706
2006-06-09T01:43:19.927   -591.200   -629.593   1791.452   1988.770      6.514    110.049    132.345    172.245   -597.714   -739.642   1659.108   1912.321
