UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-16T00:10:04.000,6.2807446,-2.2654507,3.8824537,4.3865747,-2.2654507,2.1252394,5.4588313,0
2023-01-16T00:10:09.000,6.23893,-2.2185366,3.5750601,4.606657,-2.2185366,1.7607611,5.5589623,0
2023-01-16T00:10:13.000,7.5410953,-2.820429,4.196093,5.5951853,-2.820429,2.0015771,6.7012672,0
2023-01-16T00:10:17.000,7.560046,-2.6429036,4.301151,5.627562,-2.6429036,2.0890362,6.76796,0
2023-01-16T00:10:22.000,7.5403996,-2.6486688,4.472632,5.4623938,-2.6486688,2.3071508,6.6722736,0
2023-01-16T00:10:26.000,6.9841604,-2.339214,4.1923685,5.0725355,-2.339214,2.1791162,6.209511,0
2023-01-16T00:10:30.000,7.0942893,-2.4233356,4.235592,5.149383,-2.4233356,2.193171,6.296537,0
2023-01-16T00:10:34.000,6.8817306,-2.2442818,4.2319965,4.9408116,-2.2442818,2.2620158,6.0995646,0
2023-01-16T00:10:39.000,7.1975865,-2.649929,4.271819,5.151183,-2.649929,2.2267032,6.3106995,0
2023-01-16T00:10:43.000,7.407543,-2.590246,4.4368505,5.336354,-2.590246,2.3175957,6.5414886,0
2023-01-16T00:10:47.000,7.4024067,-2.6320994,4.234789,5.471219,-2.6320994,2.0814486,6.5981245,0
2023-01-16T00:10:52.000,6.888563,-2.2562792,4.426999,4.771078,-2.2562792,2.5039976,6.00762,0
2023-01-16T00:10:56.000,6.6389694,-1.8891519,4.4719563,4.528645,-1.8891519,2.6300917,5.7956567,0
2023-01-16T00:11:00.000,6.6661553,-2.2539382,4.220811,4.641352,-2.2539382,2.3555415,5.814535,0
2023-01-16T00:11:04.000,5.5102744,-1.8488425,3.3054192,4.0023875,-1.8488425,1.7176237,4.898435,0
2023-01-16T00:11:09.000,5.6023965,-1.956954,3.3070738,4.0768175,-1.956954,1.6935065,4.9688244,0
2023-01-16T00:11:13.000,5.931952,-1.9369136,3.5669034,4.3259244,-1.9369136,1.8512477,5.2923822,0
2023-01-16T00:11:17.000,5.541697,-1.9211868,3.8919458,3.445606,-1.9211868,2.460672,4.578704,0
2023-01-16T00:11:22.000,6.3193355,-2.304361,4.31406,4.0016,-2.304361,2.664597,5.246317,0
2023-01-16T00:11:26.000,5.5370536,-1.9733247,3.9352298,3.35841,-1.9733247,2.531551,4.5117846,0
2023-01-16T00:11:30.000,6.4614415,-2.1649446,4.5379834,4.0583177,-2.1649446,2.8552465,5.376877,0
2023-01-16T00:11:35.000,6.5237393,-2.1357949,4.56408,4.143275,-2.1357949,2.8504348,5.465581,0
2023-01-16T00:11:39.000,6.3926806,-1.977434,4.5583663,4.022115,-1.977434,2.8870285,5.3498764,0
2023-01-16T00:11:43.000,5.6397405,-1.8233657,3.9868033,3.5478737,-1.8233657,2.5146928,4.707263,0
2023-01-16T00:11:47.000,6.559885,-2.2666345,4.741098,3.9263787,-2.2666345,3.0917284,5.323127,0
2023-01-16T00:11:52.000,6.5330973,-2.1247947,4.888403,3.7775815,-2.1247947,3.2814555,5.234372,0
2023-01-16T00:11:56.000,5.8704233,-1.824005,4.509195,3.2866457,-1.824005,3.095365,4.6425843,0
2023-01-16T00:12:00.000,6.8543167,-2.1225479,5.399663,3.6496701,-2.1225479,3.8055565,5.2909536,0
2023-01-16T00:12:05.000,6.7181053,-2.2461183,5.3307123,3.4163432,-2.2461183,3.821562,5.0481243,0
2023-01-16T00:12:09.000,6.881269,-2.222989,5.53815,3.426234,-2.222989,4.012867,5.129042,0
2023-01-16T00:12:13.000,6.9804134,-2.2848732,5.308713,3.9144723,-2.2848732,3.628912,5.507861,0
2023-01-16T00:12:18.000,7.0767536,-2.2560794,5.3651104,4.0256844,-2.2560794,3.6434755,5.631663,0
2023-01-16T00:12:22.000,6.8298697,-2.2685814,5.147885,3.872975,-2.2685814,3.4924765,5.4132495,0
2023-01-16T00:12:26.000,6.495021,-2.1468332,5.0373335,3.49309,-2.1468332,3.5200694,5.018517,0
2023-01-16T00:12:30.000,5.4759665,-2.3267596,3.84558,3.1279247,-2.3267596,2.527957,4.2640157,0
2023-01-16T00:12:35.000,6.0957646,-1.9143732,4.8088074,3.220077,-1.9143732,3.4000814,4.6832647,0
2023-01-16T00:12:39.000,6.0071955,-2.2477264,4.247202,3.6049125,-2.2477264,2.7401624,4.850322,0
2023-01-16T00:12:43.000,5.1227756,-1.6695765,3.426284,3.4228528,-1.6695765,2.0327578,4.3958206,0
2023-01-16T00:12:48.000,5.065274,-1.1800382,3.8832223,3.0306919,-1.1800382,2.5971022,4.1856384,0
2023-01-16T00:12:52.000,6.0439143,-1.7762822,5.0832486,2.744869,-1.7762822,3.8220432,4.33194,0
2023-01-16T00:12:56.000,5.2960634,-1.5327822,4.397588,2.5219214,-1.5327822,3.2556686,3.885806,0
2023-01-16T00:13:01.000,4.886018,-1.4429225,4.133816,2.1685743,-1.4429225,3.1302443,3.46305,0
2023-01-16T00:13:05.000,7.022441,-1.7680839,6.1298194,2.934939,-1.7680839,4.7387147,4.871666,0
2023-01-16T00:13:09.000,7.0601573,-2.4903626,5.9116836,2.948883,-2.4903626,4.5292544,4.809342,0
2023-01-16T00:13:13.000,6.031623,-1.1847726,5.342914,2.5357556,-1.1847726,4.138247,4.2251267,0
2023-01-16T00:13:18.000,7.7742743,-2.1170437,6.7153387,3.2957075,-2.1170437,5.163796,5.4122696,0
2023-01-16T00:13:22.000,3.8059888,-1.4669638,2.9817584,1.8554468,-1.4669638,2.1574585,2.7710898,0
2023-01-16T00:13:26.000,6.1388717,-0.65639365,5.4707565,2.7066061,-0.65639365,4.1993904,4.429448,0
2023-01-16T00:13:31.000,6.038115,-1.7367599,5.1259146,2.6772175,-1.7367599,3.8859744,4.2827206,0
2023-01-16T00:13:35.000,6.308343,-1.8191255,5.5662203,2.3458812,-1.8191255,4.413672,4.123768,0
2023-01-16T00:13:39.000,7.2778115,-1.9751289,6.278714,3.1053426,-1.9751289,4.820135,5.08249,0
2023-01-16T00:13:44.000,7.5495844,-1.9135967,6.638184,3.0444849,-1.9135967,5.1785774,5.149438,0
2023-01-16T00:13:48.000,7.490364,-2.0962315,6.5301323,3.011435,-2.0962315,5.0886536,5.0810404,0
2023-01-16T00:13:52.000,5.809091,-1.5002031,5.0886645,2.3665211,-1.5002031,3.9585855,3.978006,0
2023-01-16T00:13:56.000,5.6468353,-1.2982131,5.001168,2.2780938,-1.2982131,3.907055,3.8647518,0
2023-01-16T00:14:01.000,5.298544,-1.5154507,4.6115932,2.1239545,-1.5154507,3.594708,3.5855336,0
2023-01-16T00:14:05.000,6.4982877,-1.6284405,5.7305264,2.595571,-1.6284405,4.4820666,4.4144077,0
