UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-02-01T17:03:40.000,6.847424030303955,4.394367,-5.24941,-0.14299594,4.394367,-4.997617,-1.6126317
2023-02-01T17:03:44.000,6.63841438293457,3.074386,-5.8601904,0.52428204,3.074386,-5.7712636,-1.1442119
2023-02-01T17:03:48.000,6.876383304595947,2.4660041,-6.4141045,0.2504851,2.4660041,-6.225795,-1.5629965
2023-02-01T17:03:53.000,6.7317070960998535,2.744352,-6.051101,-1.0810131,2.744352,-5.502933,-2.7390037
2023-02-01T17:03:57.000,6.969983100891113,3.8444984,-5.8068204,-0.28518355,3.8444984,-5.4922047,-1.9068744
2023-02-01T17:04:01.000,6.708621978759766,4.699329,-4.7540436,0.5665563,4.699329,-4.721443,-0.79365796
2023-02-01T17:04:05.000,6.835299491882324,3.7299855,-5.7015467,0.5485373,3.7299855,-5.6255603,-1.0777737
2023-02-01T17:04:10.000,6.6966423988342285,2.5269191,-6.1852775,0.44949192,2.5269191,-6.061817,-1.3092269
2023-02-01T17:04:14.000,6.683676719665527,2.244668,-6.295418,0.026628623,2.244668,-6.048422,-1.7463046
2023-02-01T17:04:18.000,6.4061970710754395,3.7823238,-5.1664343,-0.20333828,3.7823238,-4.900268,-1.6494703
2023-02-01T17:04:23.000,6.38360595703125,3.672686,-5.2108493,0.3299284,3.672686,-5.0929437,-1.1505314
2023-02-01T17:04:27.000,6.464610576629639,2.5012593,-5.786853,1.4308109,2.5012593,-5.9555864,-0.25666058
2023-02-01T17:04:31.000,6.653616905212402,3.1286855,-5.7407656,-1.2351357,3.1286855,-5.160495,-2.802007
2023-02-01T17:04:36.000,6.901656150817871,3.6811278,-5.8343554,-0.20605505,3.6811278,-5.54004,-1.8412277
2023-02-01T17:04:40.000,6.96307373046875,3.5188859,-5.964449,0.7260795,3.5188859,-5.927393,-0.9837906
2023-02-01T17:04:44.000,7.034851551055908,3.319932,-6.195746,0.28270307,3.319932,-6.024327,-1.4746797
2023-02-01T17:04:48.000,6.525491714477539,3.8391404,-5.2225404,0.753733,3.8391404,-5.223256,-0.74876124
2023-02-01T17:04:53.000,6.534283638000488,3.2008686,-5.660142,0.6435053,3.2008686,-5.612,-0.9781415
2023-02-01T17:04:57.000,6.651663303375244,2.9977636,-5.926839,0.36141536,2.9977636,-5.7882943,-1.3242664
2023-02-01T17:05:01.000,7.172286510467529,3.286368,-6.37469,-0.06932615,3.286368,-6.096438,-1.8641123
2023-02-01T17:05:06.000,7.227872848510742,3.0304565,-6.5547295,-0.30660397,3.0304565,-6.2021513,-2.1428466
2023-02-01T17:05:10.000,6.916214466094971,3.7137918,-5.8082933,-0.5527246,3.7137918,-5.4164925,-2.1687274
2023-02-01T17:05:14.000,6.6017680168151855,3.9176393,-5.3100405,0.19726737,3.9176393,-5.149972,-1.3089049
2023-02-01T17:05:19.000,6.778763294219971,3.62943,-5.6668243,0.81607187,3.62943,-5.666807,-0.8161915
2023-02-01T17:05:23.000,6.466637134552002,2.1960683,-5.900749,1.4750738,2.1960683,-6.0771737,-0.25029206
2023-02-01T17:05:27.000,6.672832012176514,1.9807043,-6.3693,0.18846668,1.9807043,-6.163468,-1.6171486
2023-02-01T17:05:31.000,6.642299175262451,2.3181562,-6.1597266,-0.89669275,2.3181562,-5.6559615,-2.5993047
2023-02-01T17:05:36.000,6.529268741607666,2.7928264,-5.897582,0.22358896,2.7928264,-5.7207007,-1.4508793
2023-02-01T17:05:40.000,6.9766459465026855,3.3416197,-6.123701,-0.08634155,3.3416197,-5.8500056,-1.8123461
2023-02-01T17:05:44.000,6.984992027282715,3.990625,-5.7326393,0.043253347,3.990625,-5.511386,-1.5778612
2023-02-01T17:05:49.000,6.922865390777588,3.329662,-5.957448,1.1611314,3.329662,-6.042787,-0.5693227
2023-02-01T17:05:53.000,6.886956214904785,2.3864143,-6.176341,1.8942031,2.3864143,-6.45988,0.07170987
2023-02-01T17:05:57.000,6.7863850593566895,2.5807347,-6.2543435,0.5272698,2.5807347,-6.1483746,-1.2618687
2023-02-01T17:06:01.000,6.8681464195251465,2.8414688,-6.0942645,1.3990823,2.8414688,-6.2412,-0.38067555
2023-02-01T17:06:06.000,6.792537689208984,3.0034742,-6.0737557,0.47665998,3.0034742,-5.960717,-1.2599839
2023-02-01T17:06:10.000,7.060524940490723,3.4249384,-6.084406,1.0491972,3.4249384,-6.1327667,-0.71413004
2023-02-01T17:06:14.000,7.064679145812988,3.7738996,-5.9184256,0.7997586,3.7738996,-5.90298,-0.9067545
2023-02-01T17:06:19.000,6.89924955368042,3.967722,-5.56889,0.9188512,3.967722,-5.6013613,-0.6939532
2023-02-01T17:06:23.000,6.739415168762207,3.3820724,-5.692792,1.2543616,3.3820724,-5.8150883,-0.40749037
2023-02-01T17:06:27.000,6.947955131530762,2.4770577,-6.4208612,0.954361,2.4770577,-6.428489,-0.90154696
2023-02-01T17:06:32.000,6.912696361541748,2.6306925,-6.3911834,0.1326803,2.6306925,-6.167429,-1.6815616
2023-02-01T17:06:36.000,6.962910175323486,3.0923505,-6.2337093,-0.24567813,3.0923505,-5.909209,-2.0001845
2023-02-01T17:06:40.000,6.918754577636719,3.5613232,-5.899053,0.6223445,3.5613232,-5.8338933,-1.0732312
2023-02-01T17:06:44.000,7.175073146820068,4.567309,-5.4154334,1.1377344,4.567309,-5.515953,-0.4422891
2023-02-01T17:06:49.000,7.188337802886963,3.8703532,-5.68298,2.0967374,3.8703532,-6.044125,0.4013945
2023-02-01T17:06:53.000,7.264307975769043,2.4477167,-6.5962787,1.8077502,2.4477167,-6.838178,-0.1347673
2023-02-01T17:06:57.000,6.869421005249023,2.3659816,-6.4165845,0.6469275,2.3659816,-6.3369665,-1.1974683
2023-02-01T17:07:02.000,6.649472713470459,2.8205667,-5.9743223,0.7532379,2.8205667,-5.942894,-0.97051895
2023-02-01T17:07:06.000,6.962496757507324,3.417424,-6.020426,0.7429965,3.417424,-5.9841547,-0.9937097
2023-02-01T17:07:10.000,7.010046482086182,3.3974059,-6.069309,0.87285054,3.3974059,-6.0677905,-0.8833434
2023-02-01T17:07:15.000,6.93932580947876,3.4149349,-5.873682,1.4114976,3.4149349,-6.032855,-0.31164503
2023-02-01T17:07:19.000,7.1577534675598145,3.3407726,-6.2479405,1.017799,3.3407726,-6.280101,-0.7956151
2023-02-01T17:07:23.000,6.916501522064209,3.5186558,-5.876901,0.9586901,3.5186558,-5.9074917,-0.74738854
2023-02-01T17:07:27.000,6.885663032531738,3.245297,-5.9297786,1.3107743,3.245297,-6.058029,-0.4250654
2023-02-01T17:07:32.000,6.792638778686523,3.1605387,-5.8673134,1.313608,3.1605387,-5.998913,-0.40493596
2023-02-01T17:07:36.000,7.017808437347412,3.234511,-6.1941934,0.6477176,3.234511,-6.1233892,-1.1365154
2023-02-01T17:07:40.000,6.879414081573486,3.1234345,-6.103481,0.56393266,3.1234345,-6.0125713,-1.1914234
2023-02-01T17:07:45.000,6.648144721984863,2.8361635,-5.9439993,0.9071254,2.8361635,-5.957003,-0.8173846
2023-02-01T17:07:49.000,6.647210597991943,2.4399657,-6.131355,0.79904073,2.4399657,-6.105923,-0.97451574
2023-02-01T17:07:53.000,6.815013885498047,2.7038136,-6.164288,1.0655326,2.7038136,-6.21312,-0.7286557
