seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
74,[25.90085664 46.69050055 27.54047243],[22.35198794 33.95082381 34.69708655],[  19.22637895 2815.30135726   18.07521036],[21.68476659 61.66255502 58.73141485],[38.319863   44.65211659 18.97219541],[49.34302027 85.35077518 41.77816403],[ 3.71838139 17.78449739  6.03718648],[ 9.25248992 19.15945424 24.4393016 ],[134.34813713  20.08094572 151.34554881],[20.64828255 57.95284012 18.10273156],[23.34276109 31.71015505 59.81516642],[0.99432593 0.97909155 0.92946519],[0.99571348 0.98931189 0.8405715 ],[0.99758267 0.13786805 0.95916148],[0.99672955 0.96325327 0.6830566 ],[0.98908992 0.98052211 0.9533733 ],[0.97888461 0.9262893  0.84504958],[0.99988145 0.99723362 0.99593468],[0.99932437 0.997008   0.94705333],[0.87318595 0.99603862 0.35356   ],[0.99706151 0.96756784 0.95913998],[0.99675429 0.99260966 0.59258212],[19.37313841 13.6648949   6.49356887],[20.65309788 16.43245917  4.4871364 ],[ 21.96147101 -21.94103229  10.15132938],[20.91632593 11.24903518 -0.08441268],[15.97094202 14.0526245   9.7306448 ],[13.77490639  8.4253161   2.87400957],[36.23234231 22.04863358 19.67630477],[28.31424856 21.40180282  7.53122076],[ 5.07478799 20.99378226 -8.30639647],[21.34174228 11.78797101 10.13811436],[20.27637647 17.02549819 -0.24322972]
75,[11.63932625 50.56103264 13.04392021],[34.2237852  33.99016687 38.57227157],[79.61104214 66.86745921 85.08133854],[52.00946545 71.07083795 76.80367292],[ 85.0734283  126.47883868  49.26459431],[240.55011093 211.00885421  49.5358188 ],[4.45188989 7.11836812 6.85770694],[11.49293565 29.16337582  3.81033395],[210.1679663  101.03523972 239.04952423],[ 74.22473903 110.62903489  70.79670435],[6.40754179 2.3757608  7.99871964],[0.99905178 0.97985602 0.97632906],[0.98990011 0.99118573 0.83427662],[0.94726273 0.9593229  0.57036818],[0.97747666 0.95346044 0.59484146],[0.93942158 0.84168783 0.77138648],[0.1012873  0.37838508 0.57061162],[0.99985944 0.99966528 0.99423563],[0.99931454 0.99557886 0.99801521],[0.75080408 0.90558978 0.23522471],[0.95367174 0.87824536 0.64769972],[0.99970634 0.99994436 0.99138064],[26.32086414 12.9731468  12.98483391],[16.95286014 16.42239957  3.56749227],[ 9.61995479 10.54516907 -3.30368969],[13.31777317 10.01563678 -2.4146432 ],[9.04354228 5.00910811 1.44229837],[0.01530974 0.56345192 1.39460966],[34.66853268 30.00185663 18.56941814],[26.43080147 17.75270961 23.67373578],[  1.18809054   6.96000798 -12.27676109],[10.22844739  6.17208303 -1.70726424],[31.50559202 39.53341126 17.23258709]
76,[14.55842949 87.88467566  8.74047307],[15.45711362 21.47448558 10.39599646],[160.10220093  10.97382264  62.67422596],[ 44.1502763  107.85467234  27.90391055],[41.97662978 42.12610337 64.6416912 ],[238.95243146  39.14919503  58.06896399],[19.1185761  14.21150916  9.65835429],[16.24439933 15.13938521  9.60281858],[51.06586306 57.80624834 24.7068585 ],[269.59045019   9.56733587 105.96487976],[35.81609371 35.97297631 39.37434179],[0.99910115 0.92084092 0.99006078],[0.99893196 0.99632391 0.98475659],[0.83243774 0.99892936 0.71441058],[0.98344626 0.90216732 0.90465297],[0.98501086 0.98331311 0.6440862 ],[0.1546551  0.98565745 0.17010853],[0.99898421 0.99859509 0.98975153],[0.99912325 0.9987669  0.98808797],[0.9780404  0.96912056 0.92612177],[0.66623338 0.99915642 0.54346145],[0.99515004 0.99042197 0.7791965 ],[24.37713042  8.17120241 16.4622978 ],[23.85685299 20.41101012 14.95567413],[ 3.55147493 26.24230677 -0.648783  ],[14.74075246  6.39268622  6.37969516],[15.17926963 14.55843972 -0.91725762],[7.31918909e-02 1.51950088e+01 1.41150287e-02],[22.01031009 23.99666151 15.59493394],[23.42534783 23.44730071 15.64502211],[13.47680745 11.80996981  7.43664603],[-0.97466911 27.43364509 -5.21024241],[16.55785662 15.92993807  3.38873045]
77,[29.61823136 52.46902851 25.55780512],[17.02703933 13.93497007 21.87191827],[3.81444705 6.34280136 7.01480328],[34.19388246  6.61145124 31.00584598],[320.36568623 299.49539479  66.34073158],[ 4.1132947   8.72756879 13.63861465],[2.28621529 5.54261386 7.88035433],[17.28895411 17.42522652 22.40861703],[4.1132947  8.72756879 9.69055485],[65.66062289 39.88457074 70.61480838],[41.21216258 34.7381473  37.59838447],[0.99360042 0.973378   0.92208619],[0.99845568 0.99867311 0.94909079],[0.99990993 0.99971662 0.99408024],[0.99045192 0.99966502 0.92520245],[0.62581067 0.74753808 0.64341235],[0.99988285 0.99935059 0.97970477],[0.99995999 0.99982182 0.99400947],[0.99847865 0.99757861 0.94595792],[0.99988285 0.99935059 0.98987495],[0.97489241 0.98832046 0.61727307],[0.98556924 0.98980203 0.81605984],[18.20823855 12.65140504  7.1425255 ],[23.01663819 24.1673447   8.4952591 ],[36.01078916 31.00384329 18.37268666],[16.96045268 30.64352951  5.46412488],[-2.4734989  -2.47833748 -1.14260854],[35.35562445 28.23159989 12.59759141],[40.45707846 32.17517303 17.36208167],[22.88404654 22.22589685  8.2846955 ],[35.35562445 28.23159989 15.5660237 ],[11.29332101 15.03336705 -1.68491911],[15.33891288 16.23333245  3.78961289]
78,[28.62354898 87.77454725 21.30729226],[13.4740585  38.70580015 19.07936282],[3.27766955 9.83839522 3.61848246],[84.12148152 18.09325838 19.15331569],[215.48923103 317.21014315  34.8087095 ],[ 6.39290215 12.3585316   4.88827988],[ 3.78946669 27.39314268 18.099143  ],[ 9.82344539 18.27836936 16.79614258],[ 6.39290215 12.3585316   4.88827988],[43.03071059 38.51534583 73.28050294],[22.09121113 33.64007826 30.00431514],[0.99314147 0.92150294 0.94807802],[0.99860247 0.98615097 0.95930933],[0.99993498 0.99914524 0.99861306],[0.94625793 0.9970551  0.96266882],[0.72744023 0.67558992 0.84874423],[0.99964915 0.99854443 0.9971424 ],[0.99993124 0.99529397 0.97112089],[0.99934818 0.99785198 0.97266447],[0.99964915 0.99854443 0.9971424 ],[0.98633063 0.98841747 0.58272461],[0.99594062 0.98937224 0.88933957],[18.50495137  8.18209354  8.72243133],[25.0494524  15.2939445   9.68171925],[37.32811765 27.19098021 24.12246715],[ 9.14128272 21.8991298   9.64811725],[ 0.97090954 -2.97747582  4.45923813],[31.52545982 25.21012805 21.50987532],[36.06785908 18.29662831 10.13983636],[27.79414427 21.81071652 10.78880553],[31.52545982 25.21012805 21.50987532],[14.96385061 15.33678946 -2.00677224],[20.75503045 16.51232555  5.74932222]
79,[50.26198783 50.86560999 27.55768004],[12.11473059 47.29805718 13.15076977],[ 4.72145676 10.24811966  7.29510851],[ 3.67229435 38.31924631 20.67051563],[2.77237486 5.10386142 6.13531705],[179.9927424   78.83937316  65.4642889 ],[ 3.45629024 10.62795738 11.89514822],[ 9.56915312 26.56026755 11.65847431],[28.67055355  7.26724863  5.36213854],[451.40868365 736.98251459 303.48616064],[13.32294962 53.43419012 18.96819186],[0.97803548 0.97520779 0.88069753],[0.99877533 0.97882838 0.97427452],[0.99981138 0.99897903 0.99216187],[0.99988728 0.98572375 0.94160528],[0.99993722 0.99976285 0.99444388],[0.72498929 0.94277872 0.08819351],[0.99989859 0.99938142 0.98206983],[0.99922151 0.99415784 0.97979658],[0.99298586 0.99949747 0.99575428],[0.47427035 0.28790728 0.18088737],[0.99879901 0.98255887 0.95017934],[13.61462776 12.92098036  6.48814352],[25.97314576 13.55259946 12.91397309],[34.15790065 26.83658175 18.03236146],[36.34067129 15.38112633  8.98597038],[38.78238192 32.89148802 19.53625639],[ 2.53432109  9.11460225 -1.02709251],[36.86721688 26.52046942 13.78559943],[28.02195089 18.56481659 13.96016218],[18.49069941 29.82206513 20.70623598],[ -5.45197721 -10.29967818 -14.34978124],[25.14741326 12.49308087  9.73247791]
80,[28.66966336 51.91447064 15.87569014],[15.81185436 14.88039256 14.48069954],[43.79186082 52.63023397 59.28804038],[54.61698947 78.17121406 77.00427762],[102.4518345  284.84716031  52.80546592],[238.12890291 221.94238397  63.12908657],[ 1.33658961 17.60169211  6.3184848 ],[14.38367348 16.22222956  9.96004763],[18.15594431 37.01473893 78.58739725],[170.62582403 118.24622749  50.84695053],[2.75549081 4.75785711 6.63677843],[0.99382889 0.97325212 0.96641026],[0.99895661 0.99846458 0.97378558],[0.98582025 0.97671844 0.70213937],[0.97936325 0.95007828 0.6137558 ],[0.92482499 0.65003742 0.75185352],[0.16900239 0.17173017 0.10480016],[0.99999073 0.99842141 0.99649587],[0.99916337 0.99766019 0.98963577],[0.99769374 0.99116487 0.59518113],[0.83174834 0.89815233 0.76435339],[0.9999565  0.99985333 0.99588873],[18.4909691  12.7436969  11.27834431],[23.65976486 23.59717773 12.07720574],[14.81155298 12.62475949 -0.16634534],[12.89286582  9.18852836 -2.43730044],[ 7.42902619 -2.04277238  0.83941901],[ 0.10317875  0.12466057 -0.71159352],[45.11945936 22.1383771  19.28073769],[24.48202466 22.84725464 15.32776828],[22.45904413 15.68197169 -2.61406153],[2.99852574 5.59371962 1.16769835],[38.83544163 33.50123759 18.85385021]
81,[41.36236206 90.53248435 25.26695018],[41.96147452 90.0836424  21.95380055],[389.18893652   9.57053591  30.15806977],[228.45204162 209.85526917  60.75131933],[ 92.30283168 173.13667464  37.66225156],[238.52064738 223.91818168  59.39286439],[ 47.15414593 225.44202797   1.27400796],[39.33031546 83.42889161 20.75677135],[ 88.76969487 268.06713628  74.34999607],[166.09651285  18.31735152  30.37489922],[41.71675937 16.99431863  2.93313891],[0.98623648 0.9524531  0.91848094],[0.9858462  0.95501117 0.95193504],[0.39456434 0.9993478  0.91966796],[0.97018308 0.56438241 0.70957133],[0.92396122 0.64035125 0.88640931],[0.14591576 0.10907672 0.17209373],[0.98117862 0.6028485  0.99982216],[0.9875956  0.96245763 0.9554063 ],[0.92977258 0.14943559 0.72439096],[0.82198283 0.99872485 0.91388975],[0.99326525 0.99880104 0.99907566],[15.30731433  7.91337674  7.2419401 ],[15.18240616  7.95654674  8.4628023 ],[-4.16378875 27.43074036  5.70492575],[ 0.4635201   0.61106794 -0.37811769],[8.33512048 2.28168406 3.77487099],[ 0.08890138  0.04767832 -0.18168883],[ 1.41690233e+01 -1.12321495e-02  3.31895537e+01],[15.74487238  8.62313602  8.94980056],[ 8.67412643 -1.515406   -2.13262241],[ 3.23221068 21.7922119   5.64269967],[15.23320969 22.44339037 25.94634395]
82,[37.24939732 84.08505947 44.56788576],[25.69116712 22.1090618  44.17356939],[ 8.25038832 36.17551667  4.38199723],[ 31.18361104  22.35920801 148.83814643],[ 4.36455797 79.85021624  3.12422062],[ 9.66803353 99.60962503 53.74046251],[23.91391083 42.37919045 18.6324911 ],[20.95896506 23.23551172 42.32296409],[93.46354092 99.60962503 14.89141846],[12.05203706 77.7290833  68.81341135],[ 63.76272094  52.31181462 131.5007108 ],[0.98910546 0.9291347  0.77222494],[0.995564   0.99661488 0.77874483],[0.99941373 0.98831461 0.99717729],[0.99166682 0.99632963 0.35494918],[0.99983638 0.94739904 0.99857505],[0.99919503 0.91372401 0.3899537 ],[0.99689692 0.98823657 0.9563712 ],[0.99729511 0.99647353 0.80885289],[0.93207949 0.91372401 0.96897525],[0.9987497  0.9450497  0.63323749],[0.97820241 0.98176869 0.22564633],[16.21703596  8.55508879  2.31255594],[19.44374429 20.15805923  2.38974672],[29.30993318 15.88117065 22.45955461],[17.76089288 20.06033718 -8.16128847],[34.84061565  9.00394357 25.3981627 ],[27.93265801  7.0834394   0.68696859],[20.06640886 14.50641237  9.88757814],[21.2120243  19.72642067  2.76147507],[ 8.22657636  7.0834394  11.83427523],[26.0182118   9.23779458 -1.46046518],[11.54808414 12.67746979 -7.08556542]
83,[50.38232245 31.17090531 26.17234142],[18.88545314 23.88297058  4.27886364],[3.44907888 3.01303739 4.4511787 ],[ 38.5974514  177.85736334  61.28757137],[152.69629162 370.01943303  70.19129936],[3.38908002 5.19483916 1.89098861],[19.25169486  8.62347247  1.4803821 ],[17.5676224  25.1600731   6.13153659],[3.38908002 5.19483916 1.89098861],[ 8.06142818 40.03142807 11.01240895],[73.13662521 39.79335886 28.05670823],[0.97995933 0.99239549 0.89437562],[0.99916519 0.99610854 0.99854234],[0.99992896 0.99991468 0.99729154],[0.98832573 0.85321631 0.74575136],[0.86156452 0.51329686 0.55333641],[0.99993133 0.99977696 0.99949574],[0.9969303  0.99964797 0.99976247],[0.99919952 0.99586955 0.99663539],[0.99993133 0.99977696 0.99949574],[0.99955053 0.98861576 0.98318953],[0.98097326 0.9874159  0.89743918],[13.59385731 17.17447718  6.93614505],[22.11687278 19.48769863 22.66642766],[36.88535844 37.46937507 22.32349598],[15.90824839  2.0480285  -0.45445166],[ 3.96285117 -4.31502517 -1.63266906],[37.03778452 32.73802338 29.75921832],[21.95004158 28.33582188 31.88552008],[22.74516121 19.03522753 19.54161011],[37.03778452 32.73802338 29.75921832],[29.51118119 15.00144384 14.45534997],[10.35672264 15.05325353  6.33226227]
84,[159.20489772  59.68413258  82.9882866 ],[159.18802043  58.13751333  83.95695436],[224.02405491 145.27365468 145.48388633],[223.74161281 142.22968959 202.4964608 ],[320.95265683 267.25574188 181.98088042],[331.87815842 245.84487973 128.97175706],[515.611795     7.58477093  30.16565773],[158.01358155  39.36800318  82.85308466],[173.02455227 122.77185631 190.08061737],[713.89715947 270.07121449 129.33939417],[3.91100794 5.39636107 9.63621691],[0.97527216 0.97110097 0.819065  ],[0.97531655 0.97291941 0.78459285],[0.76434504 0.8966968  0.58500481],[0.77212576 0.90248153 0.4892409 ],[0.41788686 0.69431475 0.52850893],[0.02704504 0.0890804  0.04674708],[-0.53950649  0.99958601  0.95941634],[0.97935119 0.99009483 0.81809516],[0.90181082 0.92737774 0.51273823],[0.7598392  0.59660942 0.5437248 ],[0.99992211 0.99971423 0.98679053],[ 3.60029249 11.53228777 -3.08733938],[ 3.60121333 11.76033646 -3.18813693],[ 0.63352789  3.80572825 -7.96330129],[  0.64448569   3.98966026 -10.83535216],[-2.48939853 -1.48907539 -9.90751865],[-2.78015246 -0.76375785 -6.91689575],[-6.6070359  29.45061612  5.7027406 ],[ 3.66553263 15.14659776 -3.07317706],[  2.87726629   5.26748905 -10.28576009],[-9.43329211 -1.58010045 -6.94161986],[35.79364702 32.40744549 15.61486524]
85,[32.76819368 45.08913559 20.16602443],[31.88546747 33.82229366 19.6223114 ],[ 25.55083488  66.49303974 135.92032999],[269.91839828 174.51905536  35.4273865 ],[32.98722915 28.17241373 43.24330855],[236.90303462 215.34819819  70.44864286],[14.34023954  5.50404268  2.01114314],[22.82291649 12.62646837 15.20547155],[36.135362   32.22483583 45.23670434],[ 95.26466294 121.89914104  87.26686259],[4.21989388 8.7403386  7.42178561],[0.99236177 0.97998858 0.95290539],[0.99284079 0.98871419 0.95321954],[0.9951344  0.96279106 0.54754705],[0.74125634 0.8746986  0.80593033],[0.99295314 0.99323009 0.69682815],[ 0.21800935  0.29862592 -0.3084745 ],[0.9991121  0.99973143 0.99940513],[0.997221   0.99850448 0.97418514],[0.99162184 0.99107975 0.666062  ],[0.96747923 0.8776355  0.62288601],[0.99985824 0.99928129 0.99182581],[17.33037093 13.96802731  9.2005908 ],[17.5675652  16.46540438  9.43799331],[19.49131907 10.59394176 -7.37269182],[-0.98522879  2.21260843  4.30621428],[17.27250422 18.05298435  2.5746183 ],[ 0.14800849  0.38664065 -1.66445604],[24.50829285 32.23582964 29.22413696],[20.47199815 25.0238276  11.65299873],[16.48077278 16.88565123  2.18317744],[ 8.06078427  5.32945259 -3.52399067],[35.13339038 28.21890035 17.88282849]
86,[53.81615074 77.34428043 71.3789362 ],[48.29216813 56.08717433 69.29451146],[65.0695423  15.92425753 56.99693916],[236.05797422 216.61228775 170.58711691],[142.34863094  48.64169246  65.55501494],[239.69921396 232.29970042 151.7042389 ],[52.23769305 33.76612806 48.63623564],[45.62501259 59.99887206 66.87067222],[75.23331571 11.29866463 53.00351351],[195.26112211 326.04533296 363.82637278],[215.88589868 316.85432375 186.38430863],[0.97659    0.94186293 0.43613055],[0.9810482  0.97265793 0.5381822 ],[0.98389732 0.99779824 0.68613327],[0.69039017 0.61804237 0.20768482],[0.84652662 0.9783172  0.60228484],[0.12038162 0.06919916 0.10686023],[0.99356212 0.98997598 0.72760728],[0.98369703 0.96767103 0.53176052],[0.97984132 0.99902251 0.74412382],[0.76946101 0.5889566  0.0700078 ],[0.74489525 0.58141713 0.29871396],[13.02116835  9.28090143 -1.77840484],[13.96188689 12.07219428 -1.52098016],[11.37186593 23.00828165  0.17596591],[ 0.17904746  0.33580372 -9.345928  ],[ 4.57235508 13.30929195 -1.03912183],[ 0.04608877 -0.27150749 -8.32695773],[13.27974119 16.47984024  1.55379751],[14.45536103 11.48660378 -1.21171719],[10.11121692 25.98892314  0.8069034 ],[  1.82710536  -3.21609426 -15.92488695],[  0.95493545  -2.96772726 -10.11519036]
87,[46.99390674 68.77929345 24.00353287],[43.60917123 56.1830883  20.74737324],[ 1.15147446  1.52366579 12.17541549],[115.55135323 363.90889569  81.80617867],[16.02023857 71.01495998 21.81060638],[237.96789138 132.70923728  14.25540704],[ 6.64798732 44.84906279  4.27898142],[40.71163868 55.09164347 20.53821963],[14.24123599  1.46517771 14.25540704],[144.85706815  74.65400074  20.03294852],[100.6855339  167.98533854 166.35998901],[0.98245733 0.958621   0.92646767],[0.98515333 0.97429592 0.95304696],[0.99998867 0.99997907 0.9792681 ],[0.89800563 0.10535823 0.62844942],[0.99778954 0.94908218 0.93661713],[0.16916573 0.80853374 0.97192269],[0.9996857  0.98316693 0.99779835],[0.98741005 0.97552312 0.95283918],[0.99828809 0.99998312 0.97192269],[0.84516402 0.94349613 0.94589444],[0.9448761  0.87283451 0.34087654],[14.19858996 10.3003113   7.68749326],[14.84786431 12.05735334  8.95373419],[46.41433476 43.39167118 13.58332077],[ 6.38392025 -4.17038794 -2.96272554],[23.54604139 10.02246857  8.51964179],[ 0.10905372  4.59144244 12.21340414],[31.18561733 14.01439806 22.66618858],[15.4450493  12.22775094  9.04174071],[24.56846731 43.73165942 12.21340414],[4.42062715 9.58840377 9.25809909],[ 7.58007943  2.54403792 -9.12798107]
88,[25.26225099 44.46313596 34.96160982],[21.42553301 11.01247665 33.62109161],[58.69672075 21.78805571  9.02405544],[121.23465632  87.36399677 137.13847823],[344.39859795 196.90655045 121.4387946 ],[238.26479594  33.436343    64.27887167],[ 5.81425151 36.03860671 30.3863414 ],[ 9.61568772 18.36730455 32.77150737],[49.08871574 33.436343   18.74234884],[ 72.52480298  23.10393507 146.91142306],[ 6.16083079 16.66294884 11.73337217],[0.99465171 0.98092468 0.93114186],[0.9961198  0.99907919 0.94990242],[0.97973599 0.99636343 0.98799857],[ 0.95687858  0.92419353 -0.09699977],[ 0.09360894  0.60372478 -0.10450204],[0.1788031  0.98997798 0.40859889],[0.99973072 0.99098597 0.88433918],[0.99931137 0.99756643 0.96289632],[0.9886073  0.98997798 0.96222806],[0.97362811 0.99602792 0.77343043],[0.9996735  0.99731017 0.97971415],[19.58998006 14.0894637   4.42116815],[21.02078828 26.21176549  4.76076039],[12.26714419 20.28509596 16.18496149],[ 5.96688526  8.22281562 -7.45018993],[-3.10180652  1.16426222 -6.39415237],[ 0.09822339 16.56509007 -0.86836831],[32.34954469 15.91410565  5.63942833],[27.97981395 21.76855696  4.98306823],[13.81978757 16.56509007  9.83651625],[10.42968982 19.77574639 -8.04811473],[31.84663536 22.61442828 13.90453966]
89,[25.3872718  51.53328068 18.12659134],[ 5.69177353  7.34443313 13.14097027],[ 7.52708828 25.04746675  6.91008456],[ 62.03684977 243.54099529  83.67223123],[375.096985   221.42243106 154.58195009],[8.40549427 6.66504513 6.51876211],[6.87493154 7.28837121 1.79648869],[ 5.72077196 16.42162059 12.84013777],[8.40549427 6.66504513 6.51876211],[ 9.16204181 24.73782728 74.41432628],[58.52787418 47.57536972 59.95006179],[0.99450454 0.97425635 0.96913711],[0.99974259 0.99967747 0.99330237],[0.99969385 0.99541194 0.99311431],[0.96924453 0.75744931 0.63156199],[0.63916192 0.73689796 0.34460534],[0.99962381 0.9998056  0.99540138],[0.99974948 0.99975766 0.99964965],[0.9997495  0.99776809 0.99349069],[0.99962381 0.9998056  0.99540138],[0.99953724 0.99414927 0.7458482 ],[0.97233237 0.97959728 0.69139625],[19.54710032 12.80770968 10.12667371],[32.53446873 29.73029989 12.92044793],[30.10688078 19.07418933 18.50332935],[11.78642625 -0.68197603 -3.15863042],[-3.8434505   0.14503321 -8.49017905],[29.14815584 30.57340361 19.00969393],[30.89405342 29.79685583 30.20450685],[32.49032824 22.74114522 13.12160291],[29.14815584 30.57340361 19.00969393],[28.39957559 19.18223444 -2.1401345 ],[12.29216597 13.50182206 -0.26279612]
90,[36.68048728 59.34478326 46.86722343],[25.56341027 45.62420572 47.7975183 ],[ 24.42157229 468.04811237 118.80365371],[479.95767583 476.87288468 128.09379705],[372.83284415 316.74557103 118.57488682],[ 56.62751321 224.0641052   86.2400295 ],[ 2.42432204 46.91260698 71.07676376],[21.41745327 34.76956359 45.67217808],[ 56.62751321 194.25806676  86.2400295 ],[ 20.99494196 115.00217353  67.14038969],[ 2.25069567 20.04561308 19.89773781],[0.99029983 0.97102803 0.82429073],[0.99633264 0.98530112 0.80849368],[0.99635942 0.63767618 0.32342132],[0.66434792 0.33310393 0.35061914],[0.75229732 0.74753025 0.32444797],[0.98614688 0.21198926 0.51062817],[0.99996016 0.9957048  0.67740542],[0.99799554 0.99415378 0.84742609],[0.98614688 0.86510775 0.51062817],[0.99703842 0.89166117 0.63464313],[0.99996854 0.99605885 0.94658787],[16.35071904 11.58181454  1.87561208],[19.48704517 13.86555916  1.70488962],[19.88394855 -6.35634446 -6.20359936],[-5.98463786 -6.51858708 -6.85756541],[-3.79086231 -2.96474552 -6.18685779],[12.57887117  0.04201973 -3.42118134],[39.94761478 13.62367415 -1.74155632],[21.02406441 16.22548071  2.09996212],[12.57887117  1.28188425 -3.42118134],[21.1971274   5.83534453 -1.24668057],[40.59308546 21.00907863  9.31692251]
91,[29.52674562 50.70334874 27.55682244],[19.69049876 32.88812249 14.48510225],[ 46.84913364  73.51128152 145.58927388],[52.23128928 81.94384435 58.27902637],[187.74113763 163.65969416  39.28385895],[ 15.86758692 145.64284183  44.42209119],[12.42403494 26.39970065  9.6645297 ],[16.46989071 24.45371083 11.4493694 ],[15.86758692 29.90900613 48.51308582],[67.81476802 70.18939553 33.61679682],[38.5291639  31.77483632  2.58297497],[0.99326309 0.97933803 0.88710516],[0.9976429  0.99253909 0.9748089 ],[0.9901717  0.95371419 0.3995011 ],[0.97965678 0.94982901 0.72409372],[0.92922072 0.89200069 0.82372592],[0.9981575  0.76386394 0.78075038],[0.99873746 0.99448554 0.9862491 ],[0.99858456 0.99774383 0.98697806],[0.9981575  0.99144867 0.76238332],[0.98292396 0.95799598 0.86552969],[0.98730873 0.99010475 0.99901804],[18.23510932 12.94873263  6.48841383],[21.75428663 16.70868388 12.07456528],[14.22538969  9.72238562 -7.96959102],[13.28080605  8.77913881 -0.01724917],[2.16823207 2.7706308  3.40871373],[23.62920325  3.78368261  2.3410166 ],[25.75416769 18.61748545 15.58938208],[23.30560662 19.28257005 14.11736523],[23.62920325 17.53342587  1.57581858],[11.01293536 10.12403545  4.76187   ],[15.92362928 17.00779906 27.05059264]
92,[32.29014721 52.09800561 17.57604073],[40.34524776 26.14089822 14.2911507 ],[70.58993319  2.26581218 35.56608686],[318.90669779 307.97611133  59.4598981 ],[ 61.45981509 178.65599831  30.80870991],[241.39704379 223.27466827  67.3129795 ],[20.7573578  13.13588624 11.97405624],[27.88353868 30.42546966 21.34294777],[41.96946399  8.28561761 27.23254828],[158.22638116  95.33920731  56.45901315],[201.67101186 255.7246037  489.58549128],[0.9923562  0.97536063 0.96112616],[0.98912007 0.99638304 0.97046595],[0.96420296 0.99996375 0.83867854],[0.7173891  0.71979599 0.73327445],[0.9754495  0.67585385 0.87764212],[0.09323771 0.13232333 0.00887725],[0.99736854 0.99878571 0.97858173],[0.99512279 0.99286542 0.931799  ],[0.98837804 0.99953584 0.90750904],[0.8637955  0.9546914  0.65902503],[0.76687816 0.65987177 0.11754742],[17.45802047 12.71304354 10.39457558],[15.52357324 18.70305538 12.19165261],[10.66456556 39.94498735  4.27227489],[-2.43385184 -2.72087512 -0.19148663],[11.86759599  2.00911346  5.51952633],[-0.01521797  0.07267644 -1.2689797 ],[21.29597954 24.68027793 13.72817072],[18.73246319 17.38471968  8.70790855],[15.18075252 28.68296778  6.59123094],[3.65384307 7.46403477 0.25833093],[  1.54655143  -1.10598478 -18.5035742 ]
93,[25.77990576 48.86025162  7.6225423 ],[4.63389336 8.15874272 6.90727731],[6.27051084 1.18777969 4.36750432],[146.59058811 276.32465612  31.31281814],[101.52503253 133.64216119  21.99427565],[3.94327322 3.0206451  2.77917395],[1.36042706 3.71190683 0.36624626],[ 6.05445194 11.4559958   8.85048553],[3.94327322 3.0206451  2.77917395],[ 7.82269618 14.58904841 19.08483159],[22.64252342 33.94971636 46.96785971],[0.99428532 0.97619731 0.99635613],[0.99993508 0.99975686 0.9966573 ],[0.99969066 0.99998908 0.99738252],[0.97535162 0.58744945 0.90073099],[0.90693233 0.80478774 0.92581181],[0.9998695  0.99995896 0.99886772],[0.99999099 0.99995502 0.99998225],[0.99973144 0.99886641 0.9968173 ],[0.9998695  0.99995896 0.99886772],[0.99953218 0.9988353  0.94507282],[0.99644471 0.99013225 0.73244168],[19.41379446 13.27035152 17.65099972],[34.32050027 28.81700074 18.50685874],[31.69336251 45.55474761 22.48832972],[ 4.31729923 -1.77892726  5.37855347],[7.50795822 4.5305957  8.44680331],[35.72228359 37.44747144 26.41468197],[44.96591577 35.65752417 44.01753269],[31.99792425 25.86880859 16.35365465],[35.72228359 37.44747144 26.41468197],[29.7722917  23.76892619  9.67922995],[20.54092446 16.4327425   1.85698118]
94,[121.39108044 351.57084573 248.79216687],[120.71707032 353.00613072 250.69029264],[28.13321494 13.03585942 25.56461515],[ 23.01077678 404.24560126 298.12486793],[293.45041861 214.6961809  102.50423678],[156.1103029  314.74458402 220.57552717],[ 28.89027258 309.50324839 190.46847255],[119.49293319 348.53768953 249.06751959],[24.609235    8.48040517 19.27399993],[ 445.42534035 1301.30508413  920.7631057 ],[ 3.85850388 32.36364524 15.23507275],[0.95979773 0.48275053 0.7521649 ],[0.96115209 0.50261572 0.77003325],[0.99676433 0.99862874 0.90198353],[ 0.99562116  0.5490291  -0.35097362],[0.43508383 0.72918271 0.08238982],[0.89104288 0.13531452 0.38365638],[ 0.99447522  0.3456763  -0.5523587 ],[0.96422465 0.49866601 0.76753062],[0.99539535 0.99943839 0.95065145],[0.77337505 0.12756594 0.56342416],[0.99987563 0.98985945 0.96641269],[  5.95568543  -3.87079157 -12.62373747],[  6.00404723  -3.90617946 -12.68975376],[18.65503369 24.74667213  7.1402114 ],[ 20.40079538  -5.08344056 -14.19496749],[-1.7112737   0.41297912 -4.92183974],[  3.77078964  -2.90969981 -11.57814993],[ 18.42438818  -2.76383873 -10.3034654 ],[  6.09257653  -3.79552946 -12.63334533],[19.8174587  28.48113346  9.59355953],[ -5.33607744 -15.23811703 -23.9899616 ],[35.91104215 16.84831686 11.63610594]
